JobName,ReqMem,ReqCPUs,ReqGPUs,ReqDuration,ActualDuration,Submit
job418744,120000000,32,0,82800,583,1620190816
job418745,120000000,32,0,82800,672,1620190816
job418746,120000000,32,0,82800,690,1620190816
job418747,120000000,32,0,82800,685,1620190816
job418748,1000000,1,0,60,2,1620191012
job418749,1000000,2,0,60,2,1620191012
job418750,1000000,4,0,60,2,1620191013
job418751,1000000,8,0,60,2,1620191013
job418752,1000000,16,0,60,2,1620191013
job418753,1000000,1,0,60,2,1620191013
job418754,1000000,2,0,60,2,1620191013
job418755,1000000,4,0,60,2,1620191014
job418756,1000000,8,0,60,2,1620191014
job418757,1000000,16,0,60,3,1620191014
job418758,1000000,1,0,60,4,1620191014
job418759,1000000,2,0,60,4,1620191014
job418760,1000000,4,0,60,4,1620191015
job418761,1000000,8,0,60,4,1620191015
job418762,1000000,16,0,60,4,1620191015
job418763,1000000,1,0,60,22,1620191015
job418764,1000000,2,0,60,17,1620191015
job418765,1000000,4,0,60,18,1620191016
job418766,1000000,8,0,60,16,1620191016
job418767,1000000,16,0,60,20,1620191016
job418768,1000000,1,0,60,1,1620191041
job418769,1000000,2,0,60,1,1620191042
job418770,1000000,4,0,60,1,1620191042
job418771,1000000,8,0,60,1,1620191042
job418772,1000000,16,0,60,0,1620191042
job418773,1000000,1,0,60,1,1620191042
job418774,1000000,2,0,60,1,1620191043
job418775,1000000,4,0,60,1,1620191043
job418776,1000000,8,0,60,1,1620191043
job418777,1000000,16,0,60,1,1620191043
job418778,1000000,1,0,60,2,1620191044
job418779,1000000,2,0,60,2,1620191044
job418780,1000000,4,0,60,2,1620191044
job418781,1000000,8,0,60,2,1620191044
job418782,1000000,16,0,60,1,1620191045
job418783,1000000,1,0,60,11,1620191045
job418784,1000000,2,0,60,9,1620191045
job418785,1000000,4,0,60,8,1620191045
job418786,1000000,8,0,60,6,1620191045
job418787,1000000,16,0,60,6,1620191046
job418788,1000000,1,0,60,2,1620191066
job418789,1000000,2,0,60,2,1620191066
job418790,1000000,4,0,60,2,1620191066
job418791,1000000,8,0,60,2,1620191067
job418792,1000000,16,0,60,1,1620191067
job418793,1000000,1,0,60,2,1620191067
job418794,1000000,2,0,60,2,1620191067
job418795,1000000,4,0,60,2,1620191067
job418796,1000000,8,0,60,2,1620191068
job418797,1000000,16,0,60,1,1620191068
job418798,1000000,1,0,60,3,1620191068
job418799,1000000,2,0,60,2,1620191068
job418800,1000000,4,0,60,2,1620191068
job418801,1000000,8,0,60,2,1620191069
job418802,1000000,16,0,60,2,1620191069
job418803,1000000,1,0,60,12,1620191069
job418804,1000000,2,0,60,9,1620191069
job418805,1000000,4,0,60,8,1620191069
job418806,1000000,8,0,60,7,1620191069
job418807,1000000,16,0,60,7,1620191070
job418808,1000000,1,0,3600,27,1620191103
job418809,1000000,2,0,3600,27,1620191104
job418810,1000000,4,0,3600,27,1620191104
job418811,1000000,8,0,3600,11,1620191104
job418812,1000000,16,0,3600,30,1620191104
job418813,64000000,16,0,86400,310,1620191449
job418814,16000000,1,0,14400,10,1620192080
job418815,16000000,1,0,14400,18,1620192335
job418816,16000000,1,0,14400,54,1620192335
job418817,16000000,1,0,14400,86,1620192335
job418818,16000000,1,0,14400,82,1620192336
job418819,16000000,1,0,14400,19,1620192336
job418820,16000000,1,0,14400,54,1620192336
job418821,16000000,1,0,14400,389,1620192336
job418822,16000000,1,0,14400,515,1620192336
job418823,16000000,1,0,14400,20,1620192336
job418824,16000000,1,0,14400,48,1620192337
job418825,16000000,1,0,14400,273,1620192337
job418826,16000000,1,0,14400,89,1620192337
job418827,16000000,1,0,14400,30,1620192337
job418828,16000000,1,0,14400,60,1620192337
job418829,16000000,1,0,14400,75,1620192338
job418830,16000000,1,0,14400,99,1620192338
job418831,16000000,1,0,14400,25,1620192338
job418832,16000000,1,0,14400,54,1620192338
job418833,16000000,1,0,14400,86,1620192338
job418834,16000000,1,0,14400,101,1620192338
job418835,16000000,1,0,14400,26,1620192339
job418836,16000000,1,0,14400,54,1620192339
job418837,16000000,1,0,14400,89,1620192339
job418838,16000000,1,0,14400,95,1620192339
job418839,16000000,1,0,14400,85,1620192381
job418840,1000000,1,0,3600,66,1620192385
job418841,1000000,1,0,3600,62,1620192396
job418842,10000000,1,0,600,4,1620192396
job418843,10000000,2,0,600,23,1620192396
job418844,10000000,4,0,600,23,1620192396
job418845,1000000,1,0,3600,66,1620192404
job418846,1000000,1,0,3600,62,1620192413
job418847,10000000,8,0,600,34,1620192417
job418848,20000000,2,0,600,25,1620192417
job418849,20000000,4,0,600,12,1620192417
job418850,20000000,8,0,600,9,1620192417
job418851,10000000,1,0,600,10,1620192427
job418852,10000000,1,0,600,8,1620192427
job418853,10000000,2,0,600,22,1620192427
job418854,10000000,2,0,600,4,1620192427
job418855,10000000,1,0,600,56,1620192427
job418856,10000000,4,0,600,7,1620192427
job418857,10000000,4,0,600,4,1620192427
job418858,10000000,2,0,600,12,1620192427
job418859,10000000,4,0,600,13,1620192427
job418860,20000000,16,0,600,5,1620192437
job418861,30000000,3,0,600,7,1620192438
job418862,30000000,6,0,600,8,1620192439
job418863,30000000,12,0,600,19,1620192440
job418864,10000000,8,0,600,3,1620192447
job418865,10000000,8,0,600,28,1620192447
job418866,20000000,2,0,600,5,1620192447
job418867,20000000,2,0,600,25,1620192447
job418868,10000000,8,0,600,15,1620192447
job418869,20000000,4,0,600,4,1620192447
job418870,20000000,2,0,600,25,1620192447
job418871,20000000,8,0,600,5,1620192447
job418872,20000000,8,0,600,195,1620192448
job418873,20000000,8,0,600,13,1620192448
job418874,30000000,24,0,600,5,1620192460
job418875,20000000,16,0,600,6,1620192468
job418876,30000000,3,0,600,5,1620192468
job418877,20000000,16,0,600,14,1620192468
job418878,30000000,6,0,600,4,1620192468
job418879,30000000,3,0,600,16,1620192468
job418880,20000000,16,0,600,88,1620192468
job418881,30000000,12,0,600,5,1620192468
job418882,30000000,6,0,600,28,1620192468
job418883,30000000,12,0,600,16,1620192468
job418884,30000000,3,0,600,154,1620192469
job418885,30000000,6,0,600,17,1620192469
job418886,30000000,12,0,600,9,1620192471
job418887,30000000,24,0,600,5,1620192488
job418888,30000000,24,0,600,12,1620192488
job418889,30000000,24,0,600,4,1620192491
job418890,50000000,4,0,36000,8144,1620192557
job418891,20000000,4,0,600,8,1620192559
job418892,20000000,4,0,600,13,1620192559
job418893,16000000,1,0,14400,76,1620192564
job418894,16000000,1,0,14400,190,1620192736
job418895,16000000,4,0,14400,34,1620192736
job418896,16000000,8,0,14400,4,1620192736
job418897,16000000,16,0,14400,30,1620192736
job418898,16000000,1,0,14400,271,1620192736
job418899,16000000,4,0,14400,89,1620192736
job418900,16000000,8,0,14400,43,1620192737
job418901,16000000,16,0,14400,65,1620192737
job418902,16000000,1,0,14400,387,1620192737
job418903,16000000,4,0,14400,73,1620192737
job418904,16000000,8,0,14400,55,1620192738
job418905,16000000,16,0,14400,78,1620192738
job418906,16000000,1,0,14400,510,1620192738
job418907,16000000,4,0,14400,94,1620192738
job418908,16000000,8,0,14400,79,1620192738
job418909,16000000,16,0,14400,131,1620192738
job418910,16000000,1,0,14400,142,1620192739
job418911,16000000,4,0,14400,34,1620192739
job418912,16000000,8,0,14400,30,1620192739
job418913,16000000,16,0,14400,46,1620192739
job418914,16000000,1,0,14400,265,1620192739
job418915,16000000,4,0,14400,52,1620192739
job418916,16000000,8,0,14400,84,1620192740
job418917,16000000,16,0,14400,56,1620192740
job418918,16000000,1,0,14400,671,1620192740
job418919,16000000,4,0,14400,134,1620192740
job418920,16000000,8,0,14400,88,1620192740
job418921,16000000,16,0,14400,82,1620192741
job418922,16000000,1,0,14400,875,1620192741
job418923,16000000,4,0,14400,28,1620192741
job418924,16000000,8,0,14400,139,1620192741
job418925,16000000,16,0,14400,130,1620192741
job418926,16000000,1,0,14400,294,1620192741
job418927,16000000,4,0,14400,87,1620192742
job418928,16000000,8,0,14400,59,1620192742
job418929,16000000,16,0,14400,39,1620192742
job418930,16000000,1,0,14400,83,1620192742
job418931,16000000,4,0,14400,159,1620192742
job418932,16000000,8,0,14400,84,1620192742
job418933,16000000,16,0,14400,73,1620192743
job418934,16000000,1,0,14400,87,1620192743
job418935,16000000,4,0,14400,86,1620192743
job418936,16000000,8,0,14400,130,1620192743
job418937,16000000,16,0,14400,84,1620192743
job418938,16000000,1,0,14400,142,1620192744
job418939,16000000,4,0,14400,131,1620192744
job418940,16000000,8,0,14400,130,1620192744
job418941,16000000,16,0,14400,133,1620192744
job418942,16000000,1,0,14400,58,1620192744
job418943,16000000,4,0,14400,80,1620192744
